# COSI2 B0 scan
# time 2024-05-22 18:55:30.362520
# MAGNET CENTER IN LAB: x 241.700 mm, y 131.100 mm, z 273.800 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240522/path_no_magnet_80mm_8pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
257.700,125.770,236.470,-47.5230,-0.8520,2.0020,47.5670
268.370,125.770,236.470,-47.5260,-0.8560,2.0000,47.5730
279.030,125.770,236.470,-47.5310,-0.8460,1.9960,47.5810
289.700,125.770,236.470,-47.5350,-0.8410,1.9950,47.5840
300.370,125.770,236.470,-47.5510,-0.8370,1.9860,47.6000
311.030,115.100,236.470,-47.5560,-0.8230,1.9830,47.6090
300.370,115.100,236.470,-47.5640,-0.8200,1.9680,47.6100
289.700,115.100,236.470,-47.5550,-0.8290,1.9810,47.5990
279.030,115.100,236.470,-47.5410,-0.8260,1.9760,47.5890
268.370,115.100,236.470,-47.5290,-0.8430,1.9840,47.5760
257.700,115.100,236.470,-47.5260,-0.8460,1.9890,47.5720
247.030,115.100,236.470,-47.5220,-0.8520,1.9930,47.5690
236.370,115.100,236.470,-47.5220,-0.8570,1.9870,47.5710
225.700,115.100,236.470,-47.5160,-0.8670,1.9920,47.5660
215.030,115.100,236.470,-47.5160,-0.8600,1.9970,47.5680
204.370,115.100,236.470,-47.5230,-0.8590,1.9990,47.5740
193.700,115.100,236.470,-47.5290,-0.8740,1.9960,47.5750
183.030,104.430,236.470,-47.5330,-0.8710,1.9990,47.5830
193.700,104.430,236.470,-47.5450,-0.8800,2.0060,47.5960
204.370,104.430,236.470,-47.5370,-0.8760,2.0060,47.5860
215.030,104.430,236.470,-47.5240,-0.8780,2.0020,47.5740
225.700,104.430,236.470,-47.5170,-0.8780,1.9910,47.5720
236.370,104.430,236.470,-47.5130,-0.8680,1.9890,47.5620
247.030,104.430,236.470,-47.5120,-0.8650,1.9890,47.5590
257.700,104.430,236.470,-47.5150,-0.8620,1.9880,47.5660
268.370,104.430,236.470,-47.5160,-0.8570,1.9830,47.5700
279.030,104.430,236.470,-47.5270,-0.8430,1.9830,47.5740
289.700,104.430,236.470,-47.5310,-0.8420,1.9750,47.5800
300.370,104.430,236.470,-47.5360,-0.8310,1.9650,47.5830
300.370,93.770,236.470,-47.5510,-0.8260,1.9650,47.5990
289.700,93.770,236.470,-47.5420,-0.8260,1.9520,47.5880
279.030,93.770,236.470,-47.5270,-0.8350,1.9570,47.5750
268.370,93.770,236.470,-47.5210,-0.8420,1.9680,47.5700
257.700,93.770,236.470,-47.5170,-0.8470,1.9760,47.5660
247.030,93.770,236.470,-47.5130,-0.8550,1.9740,47.5610
236.370,93.770,236.470,-47.5120,-0.8640,1.9780,47.5580
225.700,93.770,236.470,-47.5090,-0.8640,1.9900,47.5570
215.030,93.770,236.470,-47.5130,-0.8680,1.9910,47.5620
204.370,93.770,236.470,-47.5220,-0.8750,1.9950,47.5690
204.370,83.100,236.470,-47.5210,-0.8810,1.9990,47.5700
215.030,83.100,236.470,-47.5120,-0.8800,2.0070,47.5650
225.700,83.100,236.470,-47.5140,-0.8810,1.9950,47.5630
236.370,83.100,236.470,-47.5060,-0.8770,1.9880,47.5550
247.030,83.100,236.470,-47.5020,-0.8670,1.9880,47.5520
257.700,83.100,236.470,-47.4990,-0.8610,1.9770,47.5480
