Keithley Instruments: Cyclic Voltammetry

System Parameters
Date/Time,Wed Jul 20 16:58:16 2022
Model,2450
Serial Number,04509830
Firmware,1.6.7c
Program Version,122148
EC Framework Version,1.0

General Parameters

Source Parameters
Source Range, 2
# of Vertices, 3, 
Vertex 1, -0.3, V
Vertex 2, 0.7, V
Vertex 3, -0.3, V
Vertex 4, 4, V
Source Rate, 50, mV/sec
# of Cycles, 200

Measure Parameters
Current Range, 0.01, A
Sampling Interval, 100, points/cycle
nplc, 0.95

Calculated Parameters
0.518,-8.43778e-07, 223.441
0.498,-1.6354e-06, 223.841
0.477,-3.0119e-06, 224.261
0.457,-5.34579e-06, 224.661
0.437,-9.79193e-06, 225.061
0.417,-1.83545e-05, 225.461
0.397,-3.25181e-05, 225.861
0.376,-4.29619e-05, 226.281
0.356,-3.38964e-05, 226.681
0.336,-2.42032e-05, 227.081
0.316,-1.79354e-05, 227.481
0.296,-1.42064e-05, 227.881
0.275,-1.18297e-05, 228.301
0.255,-1.04047e-05, 228.701
0.235,-9.47155e-06, 229.101
0.215,-8.82149e-06, 229.501
0.195,-8.33534e-06, 229.901
0.174,-7.91252e-06, 230.321
0.154,-7.53999e-06, 230.721
0.134,-7.16932e-06, 231.121
0.114,-6.82659e-06, 231.521
0.094,-6.49132e-06, 231.921
0.073,-6.04242e-06, 232.341
0.053,-5.71832e-06, 232.741
0.033,-5.53951e-06, 233.141
0.013,-5.40353e-06, 233.541
-0.007,-5.12786e-06, 233.941
-0.028,-4.80004e-06, 234.361
-0.048,-4.52064e-06, 234.761
-0.068,-4.28036e-06, 235.161
-0.088,-4.05312e-06, 235.561
-0.108,-3.84822e-06, 235.961
-0.129,-3.69363e-06, 236.381
-0.149,-3.60794e-06, 236.781
-0.169,-3.49618e-06, 237.181
-0.189,-3.36394e-06, 237.581
-0.209,-3.25032e-06, 237.981
-0.23,-3.14973e-06, 238.401
-0.25,-3.0715e-06, 238.801
-0.27,-3.00631e-06, 239.201
-0.29,-2.95788e-06, 239.601
-0.289,-2.60957e-06, 240.001
-0.268,-2.30595e-06, 240.421
-0.248,-2.08616e-06, 240.821
-0.228,-1.89245e-06, 241.221
-0.208,-1.67452e-06, 241.621
-0.187,-1.34483e-06, 242.041
-0.167,-8.77306e-07, 242.441
-0.147,-1.08033e-07, 242.841
-0.127,1.07102e-06, 243.241
-0.107,2.70456e-06, 243.641
-0.086,4.17046e-06, 244.061
-0.066,3.04542e-06, 244.461
-0.046,2.12155e-06, 244.861
-0.026,2.19978e-06, 245.261
-0.006,2.35438e-06, 245.661
0.015,2.62447e-06, 246.081
0.035,2.96533e-06, 246.481
0.055,3.36021e-06, 246.881
0.075,3.69549e-06, 247.281
0.095,3.93204e-06, 247.681
0.116,4.13693e-06, 248.101
0.136,4.2934e-06, 248.501
0.156,4.40702e-06, 248.901
0.176,4.46662e-06, 249.301
0.196,4.50201e-06, 249.701
0.217,4.56721e-06, 250.121
0.237,4.75533e-06, 250.521
0.257,5.16139e-06, 250.921
0.277,5.99772e-06, 251.321
0.297,7.6443e-06, 251.721
0.318,1.08425e-05, 252.141
0.338,1.62479e-05, 252.541
0.358,2.53171e-05, 252.941
0.378,3.85493e-05, 253.341
0.398,4.90509e-05, 253.741
0.419,3.77111e-05, 254.161
0.439,2.57585e-05, 254.561
0.459,1.97385e-05, 254.961
0.479,1.6544e-05, 255.361
0.499,1.48732e-05, 255.761
0.52,1.41133e-05, 256.181
0.54,1.43368e-05, 256.581
0.56,1.57636e-05, 256.981
0.58,1.80453e-05, 257.381
0.6,1.87941e-05, 257.781
0.621,1.77752e-05, 258.201
0.641,1.64788e-05, 258.601
0.661,1.53631e-05, 259.001
0.681,1.44765e-05, 259.401
0.698,1.18911e-05, 259.801
0.677,8.53464e-06, 260.221
0.657,7.00541e-06, 260.621
0.637,5.79283e-06, 261.021
0.617,4.56348e-06, 261.421
0.597,3.22424e-06, 261.821
0.576,1.70991e-06, 262.241
0.556,4.35859e-07, 262.641
0.536,-4.99189e-07, 263.041
0.516,-1.29081e-06, 263.441
0.496,-2.2836e-06, 263.841
0.475,-3.98047e-06, 264.261
0.455,-6.88806e-06, 264.661
0.435,-1.24834e-05, 265.061
0.415,-2.31918e-05, 265.461
0.395,-4.03672e-05, 265.861
0.374,-5.21503e-05, 266.281
0.354,-3.96501e-05, 266.681
0.334,-2.75336e-05, 267.081
0.314,-2.00924e-05, 267.481
0.294,-1.5825e-05, 267.881
0.273,-1.31447e-05, 268.301
